player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Keon Coleman,BUF,receiving,401772918,8,112,14.0,1,25,11
Khalil Shakir,BUF,receiving,401772918,6,64,10.7,0,26,9
Joshua Palmer,BUF,receiving,401772918,5,61,12.2,0,32,9
James Cook,BUF,receiving,401772918,5,58,11.6,0,51,5
Dalton Kincaid,BUF,receiving,401772918,4,48,12.0,1,22,4
Jackson Hawes,BUF,receiving,401772918,1,29,29.0,0,29,1
Dawson Knox,BUF,receiving,401772918,2,20,10.0,0,12,2
Elijah Moore,BUF,receiving,401772918,1,3,3.0,0,3,1
Ty Johnson,BUF,receiving,401772918,0,0,0.0,0,0,2
Ray Davis,BUF,receiving,401772918,1,-1,-1.0,0,-1,1
