player,stat_type,game_id,c_att,yds,avg,td,int,sacks,rtg,,car,long,no,tb,in 20
Josh Johnson,rushing,401772996,15/22,173,7.9,1,1,0-0,87.9,,,,,,
Sam Hartman,rushing,401772996,9/19,64,3.4,0,1,0-0,33.7,,,,,,
Demetric Felton,rushing,401772996,,42,7.0,0,,,,,6,28,,,
Jacory Croskey-Merritt,rushing,401772996,,24,3.4,0,,,,,7,9,,,
Chris Rodriguez Jr.,rushing,401772996,,22,3.7,0,,,,,6,8,,,
Jeremy McNichols,rushing,401772996,,18,6.0,1,,,,,3,9,,,
Sam Hartman,rushing,401772996,,6,6.0,0,,,,,1,6,,,
Josh Johnson,rushing,401772996,,-11,-5.5,0,,,,,2,-2,,,
Jordan Polk,rushing,401772996,,18,,0,1,,,,,,,,
DJ James,rushing,401772996,,11,,0,1,,,,,,,,
Kazmeir Allen,rushing,401772996,,101,25.3,0,,,,,,28,4,,
Demetric Felton,rushing,401772996,,78,19.5,0,,,,,,28,4,,
Noah Igbinoghene,rushing,401772996,,25,25.0,0,,,,,,25,1,,
Jaylin Lane,rushing,401772996,,5,2.5,0,,,,,,4,2,,
Tress Way,rushing,401772996,,195,48.8,,,,,,,56,4,2,0
