player,stat_type,game_id,rec,yds,avg,td,long,tgts,fum,lost
Ke'Shawn Williams,receiving,401773002,2,55,27.5,1,29,2,,
Scotty Miller,receiving,401773002,4,47,11.8,0,22,4,,
Roc Taylor,receiving,401773002,2,38,19.0,0,22,3,,
Max Hurleman,receiving,401773002,2,29,14.5,1,26,4,,
Trey Sermon,receiving,401773002,4,28,7.0,1,11,4,,
Roman Wilson,receiving,401773002,2,24,12.0,0,19,2,,
Darnell Washington,receiving,401773002,1,19,19.0,1,19,1,,
Connor Heyward,receiving,401773002,2,17,8.5,0,9,3,,
Lance McCutcheon,receiving,401773002,2,14,7.0,0,8,2,,
Brandon Johnson,receiving,401773002,2,12,6.0,0,7,2,,
Lew Nichols,receiving,401773002,1,9,9.0,0,9,3,,
Evan Hull,receiving,401773002,1,6,6.0,0,6,3,,
JJ Galbreath,receiving,401773002,1,6,6.0,0,6,1,,
Kaleb Johnson,receiving,401773002,1,6,6.0,0,6,2,,
Robert Woods,receiving,401773002,1,4,4.0,0,4,1,,
Ben Skowronek,receiving,401773002,1,3,3.0,0,3,1,,
Skylar Thompson,receiving,401773002,0,,,,,,1,0
Evan Hull,receiving,401773002,1,,,,,,0,0
